Age Range,Weekly Hours of TV,Weekly Hours on Social Media,Longitude,Latitude,Favourite Color,Favourite Protein,Favourite Film Genre,"Favourite Music Genre
 ",Favourite Pet
50+,15,2,-82.19104,45.964993,Grey,chicken,Documentary,Jazz,Other
41-50,12,13,-82.19104,49.165882,Periwinkle,Vegan,Drama,Indie,Fish
30-40,12,12,-82.19104,47.560539,Olive Green,Beef,Action,Rock n roll,Fish
18-29,1,1,-82.19104,49.267132,Red,chicken,Documentary,Rock n roll,other
50+,15,10,-117.295425,42.992157,Cyan,Beef,romantic comedy,Latin,Other
41-50,16,2,-82.19104,45.427944,Brown,Pork,drama,Jazz,cat
18-29,11,14,-82.19104,47.560539,Gold,Vegan,Drama,Classical,Fish
18-29,3,11,-104.93351,43.59531,Very Light Yellow,Beef,comedy,Rap,other
30-40,15,10,-82.19104,45.964993,Ocean Blue,Vegetarian/Vegan,romantic comedy,world,Other
18-29,1,2,-82.19104,49.267132,Dark Blue,Vegan,Drama,rap,cat
50+,3,6,-82.19104,47.560539,Copper,Beef,Documentary,Rock n roll,Fish
30-40,16,9,-82.19104,43.897545,Ice Blue,Beef,horror,World,dog
18-29,9,16,-82.19104,47.560539,Dark Yellow,Vegan,comedy,indie,cat
18-29,10,9,-82.19104,49.15794,Silver,Pork,Romantic Comedy,Punk,Fish
30-40,15,6,-104.93351,43.59531,Lime,Vegetarian/Vegan,Comedy,Rock n roll,Fish
18-29,14,14,-82.19104,45.273918,Violet,Vegetarian,Documentary,World,other
18-29,11,18,-71.254028,50.584435,Light Orange,Fish,romantic comedy,pop,dog
18-29,4,12,-71.254028,50.584435,White,Beef,Action,punk,Fish
50+,13,12,-82.19104,45.404476,Black,Vegetarian,drama,rap,Cat
50+,5,1,-71.254028,50.27179,Platinum,Beef,Documentary,latin,Other
30-40,2,10,-82.19104,49.166592,Bright Green,Vegetarian,action,World,Cat
41-50,11,16,-104.93351,43.59531,Ice Blue,Vegetarian/Vegan,Romantic Comedy,Pop,fish
30-40,10,12,-82.19104,47.560539,Gold,Fish,Romantic Comedy,World,other
41-50,10,15,-82.19104,49.283764,Coral,fish,Documentary,rap,dog
50+,2,20,-104.93351,43.526646,Indigo,Beef,Comedy,jazz,Cat
50+,13,6,-82.19104,46.738228,Aqua,Beef,horror,indie,Cat
50+,7,5,-82.19104,43.837208,Light Orange,Chicken,Comedy,latin,Cat
30-40,16,20,-117.295425,42.317432,Pale Blue,Vegetarian,Comedy,Classical,other
50+,6,15,-82.19104,49.882114,Ocean Blue,Vegetarian,Drama,Classical,Dog
41-50,1,14,-117.295425,43.255203,Berry,Pork,Documentary,pop,Fish
30-40,7,17,-82.19104,46.490002,Cyan,Vegan,drama,Punk,Cat
18-29,2,1,-117.295425,42.992157,Yellow,Beef,Documentary,world,cat
18-29,1,1,-82.19104,44.608246,Pink,Fish,Comedy,Jazz,dog
50+,1,7,-82.19104,43.897545,Blue,Vegetarian/Vegan,drama,Punk,other
50+,2,14,-117.295425,42.778828,Teal,Vegetarian/Vegan,Horror,Hip Hop,Other
50+,15,18,-71.254028,52.146973,Magenta,Vegetarian,Drama,Rock n roll,Dog
50+,7,15,-82.19104,45.964993,Yellow,Beef,Horror,Rock n roll,Fish
18-29,1,5,-82.19104,49.267132,Sky Blue,Chicken,action,Pop,Fish
30-40,7,4,-82.19104,45.826653,Turqoise,Vegetarian,Horror,Pop,fish
18-29,9,19,-71.254028,53.631611,Indigo,Chicken,Documentary,latin,Dog
18-29,9,1,-104.93351,43.59531,Brown,Pork,Drama,latin,cat
30-40,4,6,-104.93351,43.526646,Plum,Vegetarian,Action,World,cat
18-29,5,13,-71.254028,50.27179,Olive Green,Pork,Horror,punk,dog
18-29,3,20,-104.93351,43.59531,Orange,Vegetarian,Action,world,Other
41-50,13,20,-117.295425,42.992157,Dark Green,Pork,Documentary,rap,other
30-40,3,2,-71.254028,52.268112,Ivory,Vegetarian,Romantic Comedy,indie,fish
41-50,16,12,-104.93351,43.526646,Silver,Vegan,horror,Classical,Cat
41-50,1,5,-117.295425,39.813019,Sea Green,Fish,Documentary,punk,Fish
30-40,1,2,-71.254028,56.732014,Very Light Yellow,Pork,Comedy,World,dog
41-50,14,11,-82.19104,46.738228,Periwinkle,Fish,Comedy,Hip Hop,Cat
30-40,12,17,-117.295425,42.778828,Platinum,Vegan,romantic comedy,latin,Dog
18-29,8,10,-82.19104,48.407326,Indigo,Chicken,Documentary,Rap,Fish
30-40,15,13,-82.19104,43.897545,Green,Fish,Documentary,Jazz,fish
18-29,7,20,-117.295425,39.813019,Gold,Vegetarian,comedy,Rap,fish
41-50,1,19,-117.295425,39.813019,Yellow,Vegan,horror,Indie,cat
41-50,3,15,-82.19104,46.803284,Lime,Beef,Romantic Comedy,jazz,other
18-29,12,1,-117.295425,42.992157,Black,fish,Romantic Comedy,Pop,dog
41-50,9,20,-82.19104,43.897545,White,Vegetarian,Romantic Comedy,Indie,other
18-29,6,10,-117.295425,33.039139,Red,Beef,Horror,hip hop,Dog
50+,3,7,-82.19104,43.856098,Brown,Pork,Documentary,Rock n roll,other
30-40,3,13,-82.19104,47.560539,Dark Yellow,Chicken,horror,rap,Other
41-50,13,14,-82.19104,43.6912,Bright Green,Chicken,Documentary,latin,cat
50+,10,13,-82.19104,49.895077,Light Blue,Vegetarian,Comedy,jazz,Fish
50+,9,17,-104.93351,43.526646,Teal,fish,Comedy,punk,fish
18-29,5,4,-82.19104,49.165882,Chocolate,chicken,Drama,Rock n roll,Other
50+,8,20,-82.19104,48.407326,Gray,Vegan,Documentary,Classical,Other
30-40,7,7,-71.254028,56.732014,Ivory,Vegetarian/Vegan,action,Pop,dog
18-29,3,18,-117.295425,42.778828,Turqoise,Beef,romantic comedy,Classical,Dog
30-40,15,7,-71.254028,52.146973,Very Light Yellow,Vegetarian,drama,Punk,Dog
41-50,2,19,-82.19104,49.895077,Magenta,Beef,Comedy,pop,cat
30-40,11,16,-82.19104,49.882114,Lavender,Beef,Horror,Latin,cat
41-50,11,4,-117.295425,39.813019,Gray,Pork,Documentary,punk,fish
50+,6,16,-82.19104,49.283764,Ice Blue,Vegetarian,Documentary,Pop,fish
30-40,1,20,-71.254028,50.584435,Dark Red,Pork,Documentary,latin,dog
30-40,4,5,-104.93351,43.328674,Berry,Pork,Action,Rock n roll,Other
30-40,4,15,-82.19104,44.608246,Light Blue,Pork,romantic comedy,World,Dog
18-29,1,20,-117.295425,33.039139,Coral,Vegetarian/Vegan,Horror,indie,other
30-40,4,5,-82.19104,45.826653,Dark Purple,Pork,Documentary,jazz,dog
41-50,14,15,-71.254028,50.27179,Light Turquoise,Vegan,horror,Jazz,Cat
18-29,16,13,-117.295425,39.813019,Bright Green,Pork,romantic comedy,Pop,Fish
18-29,16,3,-82.19104,44.608246,Turqoise,Chicken,Documentary,Latin,dog
41-50,16,14,-117.295425,42.404804,Cyan,Chicken,horror,Rap,cat
18-29,6,4,-104.93351,43.59531,Dark Purple,Pork,comedy,Indie,Other
18-29,9,13,-82.19104,49.882114,Ivory,chicken,romantic comedy,punk,Fish
41-50,12,12,-117.295425,42.992157,Berry,Beef,action,Classical,Cat
41-50,16,13,-82.19104,49.283764,Blue Grey,chicken,Drama,Rap,other
30-40,11,3,-82.19104,43.897545,Gray,Vegetarian/Vegan,horror,world,dog
18-29,5,5,-82.19104,45.404476,Aqua,Vegan,Comedy,Rock n roll,other
18-29,7,12,-82.19104,49.489536,Platinum,Vegan,Drama,Pop,Fish
50+,3,4,-117.295425,42.778828,Dark Teal,Fish,Documentary,rap,Cat
18-29,9,17,-117.295425,43.255203,Sea Green,Vegetarian/Vegan,action,world,Other
30-40,1,12,-104.93351,43.683334,Bright Green,chicken,Documentary,Pop,Other
50+,8,18,-82.19104,43.897545,Blue Grey,Vegan,Documentary,hip hop,other
41-50,5,20,-117.295425,42.891411,White,chicken,romantic comedy,indie,Cat
