Age Range,Weekly Hours of TV,Weekly Hours on Social Media,Longitude,Latitude,Favourite Color,Favourite Protein,Favourite Film Genre,"Favourite Music Genre
 ",Favourite Pet
41-50,7,18,45.964993,-82.19104,Silver,Vegetarian,action,rap,fish
18-29,5,20,42.992157,-117.295425,Dark Purple,Fish,drama,Indie,Dog
41-50,9,3,43.837208,-82.19104,Pink,Pork,comedy,Jazz,dog
30-40,3,10,45.826653,-82.19104,Brown,Fish,drama,Jazz,Other
50+,11,17,45.536945,-82.19104,Light Green,Fish,Action,Rap,Dog
50+,2,2,43.856098,-82.19104,Ivory,chicken,horror,Latin,Cat
41-50,15,19,43.59531,-104.93351,Light Turquoise,Chicken,Drama,Classical,Fish
41-50,12,1,47.560539,-82.19104,Dark Blue,Chicken,comedy,Punk,Other
30-40,16,16,43.255203,-117.295425,Brown,chicken,horror,Pop,other
18-29,15,18,43.6912,-82.19104,Sea Green,Chicken,Horror,latin,dog
41-50,16,8,39.813019,-117.295425,Light Orange,fish,Horror,indie,fish
50+,16,1,53.631611,-71.254028,Dark Blue,chicken,horror,Classical,Cat
50+,16,20,45.404476,-82.19104,Tan,Vegan,romantic comedy,rap,other
30-40,14,16,43.526646,-104.93351,Coral,Chicken,Drama,Indie,dog
50+,3,15,47.560539,-82.19104,Olive Green,Chicken,Drama,Jazz,fish
41-50,15,9,45.536945,-82.19104,White,Pork,Comedy,Punk,other
18-29,11,12,49.165882,-82.19104,Blue,chicken,comedy,Indie,dog
30-40,7,16,49.283764,-82.19104,Yellow,fish,romantic comedy,Latin,other
50+,11,2,46.803284,-82.19104,Bright Green,fish,Documentary,rap,Other
50+,13,13,45.404476,-82.19104,Light Blue,Vegan,Documentary,punk,cat
18-29,1,12,46.087818,-82.19104,Platinum,Vegetarian/Vegan,romantic comedy,pop,cat
18-29,5,18,43.159374,-117.295425,Pink,Pork,Documentary,world,other
50+,13,1,52.146973,-71.254028,Dark Teal,Vegetarian,Romantic Comedy,rap,cat
30-40,8,13,52.268112,-71.254028,Brown,Vegan,comedy,rap,cat
41-50,5,19,49.166592,-82.19104,Dark Pink,Vegetarian,comedy,World,Fish
41-50,6,6,42.317432,-117.295425,Ivory,Vegan,Drama,Hip Hop,Other
50+,6,6,42.992157,-117.295425,Copper,Beef,drama,Rap,fish
30-40,1,15,44.65107,-82.19104,Cyan,fish,romantic comedy,indie,Other
18-29,10,6,45.826653,-82.19104,Lavender,Fish,Drama,World,Fish
30-40,15,7,46.490002,-82.19104,Lavender,Fish,Drama,Rock n roll,Dog
50+,13,9,45.427944,-82.19104,Dark Blue,Beef,Horror,rap,cat
41-50,3,17,45.536945,-82.19104,Green,Vegetarian/Vegan,Documentary,Punk,Other
50+,12,11,49.165882,-82.19104,Ocean Blue,Vegetarian,Comedy,Rock n roll,dog
18-29,1,15,33.039139,-117.295425,Light Turquoise,Vegetarian,Documentary,pop,other
18-29,7,15,48.407326,-82.19104,Copper,Vegetarian/Vegan,comedy,hip hop,Fish
41-50,6,9,50.27179,-71.254028,Coral,Vegetarian,Action,Hip Hop,dog
18-29,15,19,48.098709,-82.19104,Light Green,Vegetarian,comedy,Indie,Dog
30-40,11,1,43.159374,-117.295425,Aqua,Vegetarian/Vegan,Horror,rap,cat
41-50,1,11,43.328674,-104.93351,Aqua,Beef,drama,indie,Dog
41-50,12,5,42.992157,-117.295425,Ice Blue,Beef,drama,punk,dog
41-50,9,10,50.27179,-71.254028,Aqua,chicken,Drama,punk,cat
50+,1,17,44.389355,-82.19104,Green,chicken,Comedy,Rock n roll,dog
50+,15,6,43.255203,-117.295425,Sea Green,Vegetarian,action,Rap,Fish
50+,15,6,49.15794,-82.19104,Silver,Vegetarian,Comedy,punk,dog
18-29,7,5,45.536945,-82.19104,Periwinkle,fish,horror,Rock n roll,cat
18-29,4,19,43.856098,-82.19104,Grey,Beef,Documentary,Jazz,cat
18-29,4,2,43.856098,-82.19104,Coral,Vegetarian/Vegan,comedy,pop,cat
41-50,10,2,45.536945,-82.19104,Teal,chicken,action,Hip Hop,Fish
41-50,7,4,56.732014,-71.254028,Chocolate,fish,drama,Rock n roll,Fish
30-40,4,1,43.887501,-82.19104,Orange,chicken,horror,Classical,Dog
50+,11,12,39.813019,-117.295425,Olive Green,Vegetarian,Documentary,Indie,fish
30-40,13,13,43.683334,-104.93351,Periwinkle,Vegetarian,Comedy,indie,Fish
41-50,4,6,47.560539,-82.19104,Lime,Vegetarian,horror,Punk,Other
30-40,12,2,47.560539,-82.19104,Light Turquoise,fish,Horror,Rock n roll,cat
18-29,7,7,53.631611,-71.254028,Olive Green,Pork,drama,Jazz,Other
30-40,2,1,46.738228,-82.19104,Ivory,Vegetarian/Vegan,Comedy,Pop,fish
41-50,1,15,48.098709,-82.19104,Plum,Vegetarian,Documentary,world,dog
50+,14,13,42.778828,-117.295425,Brown,fish,Documentary,Rock n roll,Other
30-40,12,19,43.897545,-82.19104,Indigo,Pork,Action,Hip Hop,fish
18-29,12,17,43.526646,-104.93351,Lavender,Beef,horror,Rock n roll,Cat
50+,6,12,49.166592,-82.19104,Yellow,Fish,horror,Rap,dog
30-40,2,11,39.813019,-117.295425,Yellow,Vegetarian,Action,Pop,Other
18-29,6,9,39.813019,-117.295425,Automatic,Vegetarian/Vegan,Comedy,rap,Cat
50+,5,13,50.584435,-71.254028,Lavender,Beef,Documentary,punk,fish
30-40,4,7,52.268112,-71.254028,Turqoise,Vegetarian/Vegan,drama,Pop,Fish
30-40,14,11,43.159374,-117.295425,Red,Vegan,Documentary,Classical,Dog
50+,16,8,47.560539,-82.19104,Violet,chicken,comedy,latin,Other
18-29,3,20,45.536945,-82.19104,Silver,Beef,Drama,Pop,fish
50+,15,7,39.813019,-117.295425,Red,Vegetarian,romantic comedy,Rap,other
18-29,10,14,45.427944,-82.19104,Magenta,Vegetarian,romantic comedy,Pop,Cat
50+,7,5,49.165882,-82.19104,Cyan,Beef,Horror,World,Dog
41-50,6,2,43.59531,-104.93351,Dark Green,Beef,comedy,Classical,Fish
41-50,6,12,49.489536,-82.19104,Indigo,fish,Drama,rap,dog
30-40,13,5,42.891411,-117.295425,Dark Red,Pork,Drama,Rap,Cat
30-40,5,7,52.268112,-71.254028,Dark Pink,fish,Horror,Indie,cat
18-29,3,19,43.856098,-82.19104,Magenta,chicken,Comedy,jazz,dog
30-40,6,16,49.895077,-82.19104,Ocean Blue,Chicken,horror,Rock n roll,other
30-40,10,8,43.255203,-117.295425,Ice Blue,Beef,Drama,latin,Fish
50+,8,11,44.608246,-82.19104,Magenta,Vegetarian,Action,hip hop,other
30-40,10,9,46.490002,-82.19104,Dark Red,Vegetarian,Documentary,Punk,Fish
50+,15,17,52.268112,-71.254028,Violet,Chicken,drama,jazz,cat
41-50,6,14,46.087818,-82.19104,Light Turquoise,Fish,horror,World,fish
18-29,5,20,44.389355,-82.19104,Ice Blue,Fish,action,indie,cat
